DeviceCategory,PremiumPDPPercentage,PremiumCategoryPagePercentage,FilteredBrand,AvgPrice,MinPrice,PremiumInCart,PDPContain35,Target
desktop,1,0,0,110.4,110.4,1,0,1
mobile,0,0,0,50.76,41.4,0,0,0
desktop,1,0,0,241,241,1,0,1
desktop,0.7142857142857143,0,0,134.99999999999997,112,1,0,1
desktop,0,0,0,48,48,0,0,0
desktop,0,0,0,66.85,56.4,0,1,0
desktop,1,1,12,105,105,1,0,1
desktop,1,0.33333333333333331,0,166.41666666666669,107,1,0,1
tablet,0,0,0,50.428571428571431,19,0,1,0
desktop,1,0.75,10,233,117,1,0,1
mobile,0,0,0,97,83,0,0,0
mobile,0.14285714285714285,0,0,75.461538461538467,43,0,1,0
desktop,1,0,0,92,92,1,0,1
desktop,0,0,0,39.6,39.6,0,0,0
mobile,0,0,0,41.4,41.4,0,0,0
desktop,0,0,0,83.919999999999987,67,0,1,0
desktop,0,0,0,87.5,50,0,0,0
desktop,0,0,0,53.585,37.17,0,1,0
desktop,0,0,0,67,67,0,1,0
desktop,0,0,0,73,73,0,0,0
desktop,1,0,0,293.55555555555554,193,1,1,1
mobile,0,1,0,112.5,50,0,1,0
mobile,0,0.2,0,87.000000000000028,56.4,0,1,0
mobile,0,0,0,59,59,0,1,0
mobile,0.75,0.375,0,111.76470588235294,19,1,1,1
desktop,0.72727272727272729,0,0,103.58333333333334,43,1,1,1
desktop,1,0,0,142,142,1,0,1
desktop,1,0.66666666666666663,0,152.88679245283024,138,1,0,1
desktop,0.2,0,0,60.222222222222221,54,0,0,0
desktop,0,0,0,69.6,69.6,0,0,0
desktop,0.076923076923076927,0,0,55.4561403508772,39.6,1,1,0
mobile,1,0.5,58,325.5,214,1,1,1
mobile,0.44444444444444442,0.5,0,198.72727272727275,77,1,1,1
tablet,0,0,0,73,49,0,0,0
desktop,1,0.2,0,186.8125,165,1,0,1
desktop,1,0,0,163,163,1,0,1
mobile,1,0.33333333333333331,0,151.66666666666666,151,1,0,1
desktop,1,0,0,330,330,1,1,1
mobile,1,1,0,207.13333333333333,143.4,1,0,1
desktop,0,0.27272727272727271,0,74.4864864864865,50,0,1,0
mobile,1,0.33333333333333331,0,302,302,1,0,1
desktop,0,0,0,70,70,0,1,0
desktop,1,0.63636363636363635,14,162.45871559633025,109,1,0,1
desktop,0,0,0,54,54,0,1,0
mobile,1,0,0,153.07999999999998,86.4,1,0,1
mobile,0,0,0,91.666666666666657,77,0,0,0
desktop,1,0.2,0,158.14285714285714,145,1,0,1
desktop,0,0,0,37.1,32.8,0,1,0
desktop,1,0,0,187,187,1,0,1
desktop,0.33333333333333331,0,0,163,163,1,0,1
mobile,0.25,0,0,116.51944444444445,43,0,0,0
desktop,0,0,0,50,50,0,0,0
mobile,1,0,0,144.86666666666667,112.8,1,0,1
desktop,0.66666666666666663,0.33333333333333331,2,193.94117647058823,184,1,0,0
mobile,0.75,1,0,145.14999999999998,90.6,1,0,1
desktop,0,1,0,115.8,115.8,1,0,1
mobile,0,0,0,66.624999999999986,52,0,1,0
mobile,1,0,0,165.79999999999998,159.2,1,0,1
desktop,1,0,0,163,163,1,0,1
mobile,0,0,0,77.5,67,0,1,0
mobile,0,0,0,83.25,50,0,1,0
mobile,0.125,0,4,83.862068965517238,50,0,1,0
mobile,0,0,0,72.307692307692321,39,0,1,0
mobile,1,0.25,0,116,52,0,0,0
mobile,0,0.75,0,67.833333333333329,67,0,1,0
mobile,1,0.5,0,165,165,1,0,1
mobile,0.54545454545454541,0.48717948717948717,28,163.52205882352939,59,1,1,1
mobile,0.66666666666666663,1,0,168.07142857142853,144,1,1,1
desktop,0.33333333333333331,0,0,136.33333333333334,69,1,0,0
mobile,1,1,0,145.33333333333334,122,1,0,1
mobile,1,0,0,205,185,1,0,1
desktop,1,0,0,143,143,1,0,1
mobile,1,0.33333333333333331,2,171.30000000000004,90.6,1,0,1
mobile,0,0.090909090909090912,0,94.6470588235294,74,0,1,0
desktop,1,0,0,153,143,1,0,1
desktop,0,0,4,81.666666666666671,81,0,0,0
mobile,0.88888888888888884,0.42857142857142855,18,244.23999999999998,155.4,1,0,1
mobile,0,0,0,93.333333333333329,51,0,1,0
desktop,0.42857142857142855,0.55555555555555558,0,159.25714285714287,94.8,1,0,1
mobile,1,0,0,132.3,90.6,1,0,1
desktop,0,0.16666666666666666,0,48.43875,44,0,1,0
desktop,0,0,0,71.777777777777786,39,0,1,0
desktop,1,0,0,3,3,1,0,1
desktop,0,0.1111111111111111,0,67,67,0,1,0
mobile,0,0,0,125.53846153846153,96,0,0,0
mobile,1,0,0,72,72,1,0,1
mobile,0.33333333333333331,0,0,121.5,54,0,1,0
desktop,0,0,0,51.2,51.2,0,0,0
mobile,1,0,0,144.50000000000003,112,1,0,1
desktop,0,0,0,42,42,0,0,0
desktop,0.83333333333333337,0,4,192.99999999999997,130,1,0,1
desktop,0,0,0,44.8,44.8,0,1,0
mobile,0,0,0,57.565217391304351,56,0,0,0
mobile,0,0,0,90.3,44.4,0,0,0
mobile,0,0,0,54,54,0,0,0
desktop,0,0,0,96,96,0,0,0
desktop,0.33333333333333331,0.5,0,145.64,93,1,1,1
desktop,1,0.5,6,191.12121212121215,175,1,0,1
mobile,0,0.66666666666666663,0,81.27272727272728,39.6,0,0,0
desktop,0.10344827586206896,0.03125,0,78.725490196078411,3,0,1,0
desktop,1,0.66666666666666663,0,308.66666666666669,295,1,0,1
desktop,1,0,0,163,163,1,0,1
desktop,1,0,0,138,122,1,0,1
mobile,1,0.25,14,156.5,151,1,0,1
mobile,0.8,1,0,215,208,1,0,1
mobile,0,0,0,33.088888888888889,19,0,1,0
mobile,1,0,0,169,169,1,0,1
desktop,0.25,0,0,80.5,77,0,1,0
mobile,1,0,0,160.69230769230771,93,1,0,1
mobile,0.76923076923076927,0,2,122.18260869565218,73.2,1,1,1
desktop,0,0,0,61.714285714285715,57,0,0,0
mobile,0,0.125,0,61.666666666666664,54,0,0,0
mobile,0,0,0,58,58,0,1,0
mobile,0.33333333333333331,0,0,161.6,151,1,1,1
mobile,0.5,0,0,200,200,1,0,1
desktop,1,0,0,225,225,1,0,1
mobile,1,0.18181818181818182,14,157.92307692307691,63,1,1,1
mobile,0.5,0.25,0,148.55666666666664,37.17,1,0,1
mobile,0,0,0,104,104,0,1,0
mobile,0,0,0,46.8,46.8,0,0,0
mobile,1,0,4,430,430,1,0,1
mobile,1,0,0,187,187,1,0,1
mobile,0,0,0,75,75,0,0,0
desktop,0,0,0,76,76,0,1,0
desktop,0,0,0,67,67,0,1,0
desktop,1,0,2,135.33333333333334,122,1,0,1
mobile,0,0,0,87.8,56.4,0,1,0
desktop,0,0,0,45.771428571428572,39.6,0,0,0
mobile,1,0,0,153.6,153.6,1,0,1
desktop,0.83333333333333337,0,0,59.214285714285708,3,1,0,1
desktop,0.8,0.2857142857142857,2,176.48000000000002,134.4,1,1,1
desktop,1,0,0,155,155,,0,1
mobile,0.8571428571428571,1,0,165.99999999999997,69,1,0,1
desktop,0,0,0,48,48,0,0,0
mobile,0,0,0,86.48,62.4,0,0,0
tablet,0,0,0,79.5,69,0,1,0
mobile,0.83333333333333337,0,0,314.77777777777783,215,1,0,1
desktop,0,0,0,58,58,0,0,0
mobile,0,0,0,108,108,0,0,0
desktop,0,0,2,69.99666666666667,37.97,0,1,0
mobile,0.2,0,0,105.4,74,0,1,0
desktop,0,0,0,55,55,0,0,0
desktop,1,0,2,79.666666666666657,22,1,0,1
desktop,1,0,0,107,107,1,0,1
mobile,0,0,0,62.5,39,0,1,0
mobile,0,0,0,104,104,0,0,0
desktop,0.66666666666666663,0,0,174.8,118,1,0,1
desktop,0.18181818181818182,0.1,0,76.27272727272728,19,0,1,0
desktop,1,0,2,208,208,1,0,1
mobile,0.85,0.375,24,146.07111111111107,80,1,1,1
desktop,0.5,0,0,123.5,70,0,1,0
mobile,0,0,0,74,74,0,0,0
desktop,0.5,0.2,0,179.77777777777777,172,0,1,0
mobile,1,0,0,137,96,1,1,1
desktop,0.66666666666666663,0,0,139.16666666666666,55,1,0,1
desktop,1,0,0,193,193,1,0,1
desktop,1,1,0,367,367,1,0,1
mobile,0.33333333333333331,1,12,95.674999999999983,56.4,0,1,0
mobile,1,0.5,2,263.66666666666669,259,1,0,1
desktop,1,0,0,195,195,1,0,1
desktop,0,0,0,70.399999999999977,52.8,0,1,0
mobile,1,0,0,193,193,1,0,1
desktop,0,0,0,53.733333333333334,37.2,0,0,0
mobile,0,0,2,75.2,64,0,1,0
mobile,0,0,0,46,46,0,1,0
desktop,0,0,0,58,58,0,0,0
mobile,1,0,0,158.83333333333334,138,1,0,1
mobile,0.83333333333333337,0,0,72.2,62.4,1,1,1
mobile,0,0.5,0,67,67,0,1,0
mobile,0,0,0,104,104,0,1,0
desktop,1,0.66666666666666663,2,196.39999999999998,163,1,0,1
desktop,0,0.13333333333333333,0,49.378947368421052,24,0,1,0
mobile,0,1,0,92.666666666666671,74,0,0,0
desktop,0.33333333333333331,0,0,84.333333333333329,71,1,0,1
mobile,0,0.16666666666666666,0,52.04,37.17,0,0,0
desktop,0.8,0.42857142857142855,4,152.86956521739131,112,1,0,1
mobile,0,0,0,80.000000000000014,45,0,0,0
desktop,0,0,0,125,125,0,0,0
desktop,0,0,0,104,104,0,0,0
mobile,1,0,0,212,212,1,0,1
mobile,0.1,0,0,84.333333333333329,46,0,1,0
mobile,1,0,0,118.8,118.8,1,0,1
desktop,1,0,0,118,118,1,0,1
desktop,0.66666666666666663,0,0,171.33333333333334,89,0,0,0
mobile,0,0,0,77.288888888888891,56.4,0,0,0
mobile,0,1,0,92.2,77,0,0,0
desktop,0.8,1,0,151.65714285714287,138,1,0,1
mobile,0.66666666666666663,1,0,131.78571428571428,108,0,1,0
desktop,0,0,0,75,75,0,1,0
mobile,1,0,0,163,163,1,0,1
mobile,0.75,0.125,0,93.153846153846146,64,0,1,0
mobile,0,0,0,75,75,0,0,0
mobile,0,0,0,58,58,0,0,0
desktop,0.2,0.2,0,102.16969696969697,47.2,0,0,0
desktop,0.8571428571428571,0.88888888888888884,0,302.28571428571428,176,1,1,1
desktop,0.25,0.25,2,76.0425,45.17,1,1,1
mobile,0.90909090909090906,0.23529411764705882,0,225.5375,115.8,1,1,1
mobile,0,0,0,45,45,0,0,0
desktop,0.14285714285714285,0,0,74.921568627450981,47,0,1,0
desktop,1,0,0,225,225,1,0,1
desktop,0.5,0,0,180.75,134,1,0,1
desktop,0.83333333333333337,1,0,210.04000000000008,175,1,1,1
desktop,1,0,0,243.33333333333334,241,1,0,1
mobile,0.875,0.33333333333333331,2,134.83157894736843,75,1,0,1
desktop,0,0,0,51,48,0,0,0
mobile,0,1,0,197,183,1,0,1
desktop,0,0,2,138,138,0,0,0
mobile,0,0,0,104,104,0,1,0
desktop,0,0,0,60.8,52,0,1,0
desktop,0.66666666666666663,0,0,170.86533665835398,121,1,0,1
mobile,0,0,0,83.11999999999999,39.6,0,0,0
desktop,0,0,0,49,49,0,0,0
mobile,0,0,0,58,58,0,0,0
mobile,0,0,0,74,74,0,1,0
mobile,0,0,0,74,74,0,0,0
desktop,1,0,0,195,195,1,0,1
mobile,0,0,0,92.899999999999991,77,0,1,0
desktop,0,0,0,54.6,54.6,0,0,0
desktop,0.93333333333333335,0.071428571428571425,22,162.97468354430382,86,1,1,1
desktop,1,0,2,143,143,1,0,1
desktop,0,0,0,56,44,0,1,0
desktop,1,0.72727272727272729,0,179,131,1,0,1
desktop,0.66666666666666663,0,0,137.33333333333334,71,0,1,0
desktop,1,0,2,194,194,1,0,1
mobile,0,0,0,89,89,0,0,0
mobile,0.5,0.72727272727272729,26,157.697,37.97,1,0,1
desktop,1,0,0,188.33333333333334,175,1,0,1
desktop,0,0,0,55,39,0,0,0
mobile,1,1,0,317.75,299,1,1,1
mobile,0.38461538461538464,0,0,128.47619047619048,59,0,1,0
desktop,0.8,0.66666666666666663,0,170.79999999999998,50,1,1,1
mobile,0,0,0,67,67,0,1,0
desktop,0.875,0.33333333333333331,8,153.91666666666663,140,1,0,1
desktop,1,0,0,106,106,1,0,1
desktop,1,0,0,196,196,1,0,1
mobile,0,1,0,49,49,0,0,0
desktop,0.88888888888888884,0.090909090909090912,0,149.54999999999998,31,1,0,1
mobile,0,0,0,67,67,,0,0
mobile,0,0,0,81.5,67,0,0,0
mobile,0.25,0.1111111111111111,0,125.57142857142856,58,0,1,0
mobile,0.25,0.45454545454545453,16,103.76923076923077,77,1,1,1
desktop,0,0,0,177.89999999999998,157.2,1,0,1
mobile,0.125,0,0,81.98181818181817,24.8,0,1,0
desktop,1,0.5,0,400,340,0,0,0
desktop,1,0,0,112.2,112.2,1,0,1
desktop,0,0,0,57.333333333333329,4,0,1,0
mobile,0.7,0,0,179.5344827586207,112,1,1,1
desktop,0,0,0,114,114,0,0,0
mobile,0.076923076923076927,0.076923076923076927,0,66.902352941176488,0.5,1,1,0
desktop,0,0,0,136,136,0,0,0
desktop,0,0,0,135,135,0,0,0
mobile,0,0,0,72.666666666666671,50,0,1,0
mobile,0,0,0,91.555555555555557,69,0,1,0
desktop,0,0,0,104,104,0,1,0
desktop,1,0,0,192.24999999999994,172,1,0,1
desktop,0,0,0,85.285714285714278,71,0,0,0
desktop,0,0,0,79,67,0,1,0
desktop,1,0,0,74.4,74.4,1,0,1
desktop,0,0,0,65.178571428571431,28.4,0,1,0
tablet,0,0,0,70,70,0,1,0
desktop,0.68965517241379315,0.1111111111111111,8,126.91974522292992,12,1,1,1
mobile,0,0,0,58,58,0,0,0
desktop,1,0,0,106,106,1,1,1
mobile,1,1,0,163,129,1,1,1
mobile,0,0,0,84.3,71,0,1,0
desktop,1,0,0,160,160,1,1,1
mobile,0,1,0,89,89,0,0,0
desktop,0,0,0,68.374999999999986,47,0,1,0
desktop,0.8,0.25,2,186.72727272727272,165,1,1,1
mobile,0,0,0,54,48,0,0,0
mobile,0,0.25,0,49,49,0,0,0
desktop,0,0,0,51.2,51.2,0,0,0
mobile,0.2,0,0,92.039999999999992,71.4,1,1,1
mobile,1,0,2,220.61538461538461,155.4,1,1,1
mobile,0.4,0.25,0,171.3125,69,1,1,1
mobile,0,0,0,62.666666666666671,48,0,1,0
desktop,1,1,0,161.7179487179487,114,1,0,1
mobile,1,0,0,160.92,159.6,1,0,1
mobile,0,0,0,78.714285714285708,71,0,0,0
desktop,1,0,0,155.33333333333334,126,1,0,1
mobile,0,0,0,89.580645161290349,89,0,1,0
mobile,0,0,0,71,71,0,0,0
mobile,0,0,0,104,104,0,0,0
desktop,0,0,0,75,75,0,1,0
desktop,0.5,0,0,207,136,1,0,1
desktop,1,0,0,201,201,1,0,1
mobile,1,0,6,151,151,1,0,1
mobile,0,0,0,54,54,0,1,0
desktop,0,0,0,50,50,0,1,0
mobile,0,0,0,104,104,0,1,0
desktop,0.74285714285714288,0.33333333333333331,0,280.28437499999995,112.2,1,1,1
mobile,0,0,2,67.103333333333339,55.31,0,1,0
mobile,0,0,0,87.5,50,0,0,0
mobile,0,0,0,64,64,0,0,0
desktop,0.93333333333333335,0.91666666666666663,0,145.38709677419348,90,1,1,1
desktop,0,0,0,148,148,0,0,0
desktop,0,0,0,77,77,0,0,0
desktop,0.5,0,0,127.5,65,0,1,0
mobile,1,0,0,244,199,1,0,1
desktop,0.66666666666666663,0.6,2,166.65714285714287,69.6,1,0,1
mobile,0,0,0,93,93,,1,0
desktop,1,0,2,203.12500000000003,195,1,0,1
desktop,1,0.42857142857142855,0,174.77777777777777,95,1,0,1
desktop,0.16666666666666666,0.2857142857142857,0,81.199999999999989,45.6,0,0,0
mobile,1,0,0,163,163,1,0,1
mobile,1,0,0,162,148,1,0,1
desktop,0.62962962962962965,0.33333333333333331,0,173.20754716981133,80,1,1,1
desktop,0,0,0,49,49,0,0,0
desktop,0,0,0,58.866666666666667,55.8,0,0,0
desktop,0,0,0,104,104,0,1,0
tablet,0.81818181818181823,0.83333333333333337,0,163.51485148514851,156,1,1,1
desktop,0,0,0,64.5,49,0,1,0
mobile,0,0,0,74,58,0,0,0
desktop,1,0,0,129,129,1,0,1
mobile,0,0,0,69.857142857142861,50,0,1,0
mobile,0,1,0,65.17,65.17,,0,1
desktop,1,1,0,162.5,151,1,0,1
desktop,1,0.5,0,109,109,1,0,1
desktop,0,0,0,67,67,0,1,0
desktop,0,0,0,22.333333333333332,19,0,1,0
mobile,1,0.35294117647058826,0,154.84761904761905,78.6,1,1,1
desktop,0,0,0,104,104,0,1,0
desktop,1,0.63636363636363635,2,230.83333333333331,193,1,1,1
desktop,0.5,0,0,163,163,1,0,1
desktop,0,0,0,59.2,59.2,,0,0
desktop,0,0,0,44.8,44.8,0,1,0
mobile,0,0,0,72.61621621621623,19,0,1,0
desktop,0.5,0,0,198.16666666666669,175,1,0,1
mobile,0,0,0,85.940259740259762,51,0,1,0
desktop,0.5,0,0,187,187,1,0,1
desktop,0.75,0,0,150.75,142,1,0,1
mobile,0.33333333333333331,0.25,0,147.4,138,1,1,1
mobile,0.5714285714285714,0,0,168.96999999999997,85.2,1,0,1
mobile,1,0.5,2,175.28571428571428,165,1,0,1
mobile,0,0,0,89,89,0,0,0
mobile,0.66666666666666663,0.29166666666666669,4,129.58333333333331,58,1,1,1
desktop,0,0,0,43,43,0,0,0
desktop,1,0.6,0,311,311,1,0,1
desktop,0.5,0.3,0,145.65384615384616,77,1,0,1
mobile,1,1,0,172,172,1,0,1
mobile,1,0,0,148.8,148.8,1,0,1
desktop,0,0,0,135,135,0,0,0
mobile,0,0.7142857142857143,0,84.255,46.51,0,0,0
mobile,0.4,0.375,0,126.16666666666666,58,1,0,1
desktop,0.875,0.5,0,160.85999999999999,43.6,1,1,1
desktop,1,0,0,198,198,,0,1
desktop,1,0.6,0,190.75000000000003,172,1,0,1
desktop,0,0,0,58.388888888888886,48,0,1,0
desktop,1,0,0,230,230,1,0,1
desktop,0,0,0,64,64,0,0,0
desktop,0,0,0,67,67,0,1,0
mobile,0,0,0,104,104,0,1,0
desktop,0.90909090909090906,1,0,251.2,112,1,0,1
desktop,1,1,0,180.67441860465115,135,1,0,1
desktop,1,0.16666666666666666,0,219,219,1,0,1
mobile,1,0,2,367,367,1,0,1
desktop,0,0,0,66.72,44.8,0,1,0
mobile,0.95238095238095233,0,0,139.0125,72,1,1,1
mobile,1,0,0,155.88,90.6,1,0,1
mobile,1,1,0,119,77,1,0,1
desktop,0.8,0.2857142857142857,0,137.4,129,1,0,1
desktop,1,1,0,193.5,176,1,0,1
desktop,0.72727272727272729,0,0,181.16923076923081,56.4,1,1,1
desktop,0,0,0,135,135,0,0,0
desktop,0,0,0,58,58,0,0,0
desktop,0,0,0,108,108,0,0,0
mobile,0,0,0,56,56,0,0,0
mobile,1,0,0,142,142,1,0,1
mobile,0,0,0,74,74,0,0,0
mobile,0,0,0,196.84615384615384,183,1,0,1
desktop,0,0,0,156.13333333333335,142,1,0,1
tablet,0.5,0,0,174,174,1,0,1
mobile,0,0,0,96,96,0,0,0
desktop,1,0.6,2,171.85714285714286,163,1,0,1
mobile,0,0.66666666666666663,2,104.63157894736841,104,0,1,0
tablet,1,0,0,225,224,1,1,1
desktop,0.5,0,0,147.66666666666666,106,0,0,0
desktop,0.4,0.25,0,174.19215686274512,62.4,1,1,1
mobile,1,0,0,121,121,1,0,1
mobile,1,0.5,0,257,243,1,0,1
desktop,1,0,6,131,131,1,0,1
mobile,1,0,0,160.96923076923076,97.2,1,0,1
desktop,0.8,0,0,169.72,83,1,0,1
desktop,0.34285714285714286,0,0,142.65624999999997,69,1,1,1
mobile,1,0.27272727272727271,4,155.89,85.2,1,1,1
desktop,1,0,0,109,109,1,0,1
tablet,0.66666666666666663,0.66666666666666663,0,158.01904761904763,55.8,1,1,1
desktop,0,0,0,48,48,0,0,0
desktop,0,0,0,92.8,69.6,0,0,0
desktop,0.2857142857142857,0.055555555555555552,2,114.43333333333335,32.8,0,1,0
desktop,1,0.6,0,92,92,1,0,1
desktop,0.5,0,2,102.6875,86,0,0,0
desktop,0,0,0,69.6,69.6,0,0,0
mobile,0.5,0.36363636363636365,0,120.16666666666667,54,1,1,0
desktop,0,0,0,75,75,0,1,0
desktop,0,0,0,54.6,45,0,0,0
desktop,0.66666666666666663,0,0,75.8,65,1,1,1
mobile,1,0.66666666666666663,10,141.16666666666666,112,1,1,1
desktop,1,0,0,230,230,1,0,1
desktop,0.54545454545454541,0.7142857142857143,4,178.82926829268291,138,1,1,1
desktop,0.21428571428571427,0.46153846153846156,0,94.432258064516134,48,1,1,0
desktop,0,0,0,49.6,49.6,0,0,0
mobile,0,0,0,67,67,0,1,0
desktop,0,0,0,64,64,0,0,0
desktop,0,0,0,48,48,0,0,0
mobile,0.72727272727272729,1,0,158.29999999999998,86.4,1,0,1
mobile,0,0.5,0,56.171428571428564,19,0,1,0
mobile,1,0.8,0,282,281,1,0,1
desktop,0,0,0,64.058823529411782,59,0,1,0
mobile,1,0,0,150.8,104.4,1,0,1
desktop,0,0,0,106,106,0,0,0
desktop,1,0,0,239,239,1,0,1
desktop,0.66666666666666663,0,0,86.666666666666671,19,1,1,1
desktop,0.625,0,0,86.679999999999978,27,1,1,1
desktop,0,0,0,112,112,0,1,0
desktop,0,0.25,4,77,44,0,0,0
mobile,0,0,0,104,104,,0,0
mobile,0,0,0,183,183,,0,1
desktop,0,0,0,97.0909090909091,67,0,1,0
desktop,0,0.2,2,56.999999999999993,48,0,1,0
desktop,0,0,0,84.333333333333329,71,0,0,0
mobile,0,0,0,61.1,58,0,0,0
mobile,0,0,0,49.25,48,0,0,0
desktop,1,0,0,122,122,1,0,1
desktop,0,0,0,78.772727272727266,39,0,1,0
mobile,1,0,0,142.66666666666666,56,1,0,1
desktop,1,0.70588235294117652,0,177,174,1,0,1
mobile,0.25,0,0,89.214285714285708,64,0,1,0
mobile,0,0,0,82,70,0,1,0
mobile,0,0.66666666666666663,0,67.953846153846143,35.4,0,1,0
mobile,0,0,0,39.866666666666674,19,0,1,0
desktop,1,0,0,90.5,86,1,0,1
mobile,0,0.8571428571428571,0,75.076923076923066,57,0,1,0
desktop,1,0,0,197.17391304347828,175,1,0,1
desktop,0.5,0,0,147,135,1,0,1
mobile,0,0.5,0,72.142857142857153,55,0,1,0
mobile,1,0,0,135.8,90.6,1,0,1
desktop,0.2,0,8,113,113,1,1,1
desktop,0,0,0,51.5,44,0,1,0
mobile,0.2,0,0,90.44,63.2,0,0,0
mobile,1,0,0,165,165,1,0,1
desktop,1,0,0,165,165,1,0,1
desktop,0,0,0,67,67,0,0,0
desktop,1,0,0,226,226,1,0,1
desktop,0,0,0,44.8,44.8,0,1,0
mobile,0.66666666666666663,0,0,207.2,55,1,0,1
desktop,0.75,0,44,259.4375,0.5,1,0,1
mobile,0,0,0,59,44,,1,0
mobile,1,0,0,165,165,1,0,1
desktop,0,0,0,95,86,0,1,0
desktop,0,0,0,66.25,59,0,1,0
desktop,0,0,0,87.666666666666671,75,0,1,0
mobile,0.7142857142857143,0.1,0,161.88888888888889,74,1,1,1
mobile,0,0,0,59,59,0,1,0
desktop,0,0,0,89.571428571428569,65,0,1,0
mobile,0.66666666666666663,0.1111111111111111,0,103.875,55,0,0,0
desktop,0.66666666666666663,0.33333333333333331,2,148.23529411764707,114,1,1,1
desktop,1,0,0,68.4,68.4,1,0,1
mobile,0.7,0.25,0,143.61111111111111,54,1,0,1
desktop,0.5,0.5,4,149.69500000000002,49.17,1,1,1
mobile,0,0,0,76.15384615384616,39,0,1,0
desktop,0.75,0,0,151.23333333333329,49.6,1,0,1
desktop,1,0,0,244,244,1,0,1
desktop,1,0.66666666666666663,2,165.50980392156859,156,1,0,1
mobile,0,0,0,46,46,0,1,0
mobile,0,0.2857142857142857,0,92.672307692307683,46.8,0,0,0
mobile,0,0.33333333333333331,0,106,106,0,0,0
desktop,0.83333333333333337,0.75,0,112.58333333333334,77,1,0,0
desktop,0,0,0,55.727272727272727,48,0,0,0
mobile,1,0,0,72.8,60,1,0,1
desktop,0,0,0,50,50,0,1,0
desktop,0,0,0,45.6,45.6,0,1,0
desktop,1,0,0,153.71428571428572,138,1,0,1
mobile,0.875,0.19047619047619047,0,166.1008403361345,112,1,1,1
mobile,0,0,0,100.32000000000001,45.6,0,1,0
mobile,0.75,0,2,255.8,207.6,1,0,1
mobile,0.066666666666666666,0,0,74.482758620689665,21.6,0,1,0
desktop,0.33333333333333331,0.16666666666666666,8,176.528125,41.97,1,1,1
mobile,1,0,0,71.1,69.6,1,0,1
mobile,0,1,0,10,10,0,1,0
mobile,1,0.2,0,258,208,1,0,1
desktop,0,0,0,61.636363636363647,54,0,1,0
mobile,1,0.83333333333333337,0,158.64285714285714,138,,0,1
desktop,0,0,0,63.800000000000004,54.6,0,0,0
tablet,0,0,0,46.6,19,0,1,0
mobile,1,0,0,169.06666666666666,168.6,1,0,1
mobile,1,0.66666666666666663,0,193,193,1,0,1
desktop,0,0,0,49.8,49.8,0,0,0
mobile,1,0,0,119,119,1,0,1
mobile,0,0,0,89,89,0,1,0
mobile,0,0,0,83.6,70,0,1,0
mobile,1,1,46,160,160,1,0,1
mobile,0.92307692307692313,0.8,30,197.00000000000003,129,1,0,1
mobile,0.83333333333333337,0.875,66,185.85294117647058,72.6,1,1,1
mobile,1,0.8,2,202.25,163,1,0,1
mobile,0,0,0,90.177777777777777,45,0,0,0
mobile,0,0,0,46,46,0,1,0
mobile,0,0,0,92.500000000000014,83,0,0,0
mobile,1,0.42857142857142855,10,147.075,90.6,1,0,1
desktop,1,0,0,172,172,,1,1
desktop,1,0,0,89,89,1,0,1
